Product Name,Concentration uM,morphology score,infection rate (%),Cell model
labetalol,10.0,-0.12,114.5,Vero E6
IMREG-1,10.0,-0.09,114.0,Vero E6
L-theanine,10.0,0.04,101.5,Vero E6
L-quisqualic-acid,10.0,0.04,105.5,Vero E6
phenylephrine,10.0,-0.01,110.5,Vero E6
L-NAME,10.0,0.12,98.5,Vero E6
L-monomethylarginine,10.0,0.2,97.0,Vero E6
L-mimosine,10.0,0.09,100.0,Vero E6
cabagin,10.0,0.01,109.0,Vero E6
L-lysine,10.0,0.01,102.5,Vero E6
L-glutamine,10.0,0.28,94.0,Vero E6
L-ergothioneine,10.0,0.06,99.0,Vero E6
L-cysteinesulfinic-acid,10.0,-0.05,108.5,Vero E6
L-cysteine,10.0,0.03,94.0,Vero E6
L-citrulline,10.0,0.03,112.0,Vero E6
L-asparagine,10.0,0.14,94.0,Vero E6
L-arginine,10.0,0.05,113.0,Vero E6
dipeptamin,10.0,0.0,102.5,Vero E6
L-alanine,10.0,-0.12,111.0,Vero E6
L-838417,10.0,0.17,96.5,Vero E6
L-798106,10.0,0.19,79.5,Vero E6
L-778123,10.0,0.28,95.0,Vero E6
L-760735,10.0,0.43,58.0,Vero E6
L-755507,10.0,-0.17,112.5,Vero E6
L-745870,10.0,-0.02,108.0,Vero E6
L-741742,10.0,0.2,84.0,Vero E6
"L-732,138",10.0,0.31,93.0,Vero E6
L-701252,10.0,0.24,100.5,Vero E6
L-694247,10.0,0.14,103.0,Vero E6
L-693403,10.0,0.23,80.5,Vero E6
L-690330,10.0,0.04,107.0,Vero E6
L-689560,10.0,-0.15,106.5,Vero E6
L-670596,10.0,0.14,90.0,Vero E6
L-655240,10.0,-0.21,113.0,Vero E6
"L-655,708",10.0,0.29,95.0,Vero E6
L-368899,10.0,0.05,95.0,Vero E6
L-365260,10.0,0.02,106.0,Vero E6
L-168049,10.0,0.11,100.5,Vero E6
L-165041,10.0,0.06,106.0,Vero E6
L-161982,10.0,0.09,103.5,Vero E6
L-152804,10.0,0.28,98.0,Vero E6
L-(+)-rhamnose-monohydrate,10.0,0.23,103.5,Vero E6
kynurenic-acid,10.0,0.12,97.0,Vero E6
KY02111,10.0,0.2,100.5,Vero E6
KX2-391,10.0,-0.5,112.0,Vero E6
KW-3902,10.0,0.13,94.0,Vero E6
KW-2478,10.0,-0.03,102.0,Vero E6
KW-2449,10.0,0.96,94.5,Vero E6
kuromanin,10.0,-0.13,110.0,Vero E6
KU14R,10.0,0.23,93.0,Vero E6
KU-55933,10.0,0.28,83.0,Vero E6
KU-0063794,0.83,0.12,110.0,Vero E6
KS-176,10.0,-0.03,112.5,Vero E6
KRN-633,10.0,-0.03,108.0,Vero E6
KRCA-0008,10.0,0.08,114.0,Vero E6
KPT-276,10.0,-0.3,116.0,Vero E6
KPT-185,10.0,-0.36,114.0,Vero E6
Ko143,10.0,0.03,111.5,Vero E6
KN-62,10.0,0.31,83.0,Vero E6
KML29,10.0,0.16,93.5,Vero E6
KL-001,10.0,0.0,91.0,Vero E6
kinetin,10.0,0.07,104.0,Vero E6
kifunensine,10.0,0.19,94.0,Vero E6
ki16198,10.0,0.04,105.0,Vero E6
KI-8751,10.0,0.12,111.0,Vero E6
KI-20227,10.0,0.33,101.0,Vero E6
KHS-101,0.83,-0.03,106.0,Vero E6
KHK-IN-1,0.83,0.17,101.0,Vero E6
khellin,10.0,-0.1,109.0,Vero E6
KH-CB19,10.0,-0.03,105.0,Vero E6
KF-38789,10.0,0.01,101.0,Vero E6
kevetrin,10.0,0.19,92.0,Vero E6
ketotifen,10.0,0.14,101.0,Vero E6
ketorolac,10.0,0.0,107.0,Vero E6
ketoprofen,10.0,0.17,102.0,Vero E6
ketoconazole,10.0,0.08,107.5,Vero E6
ketanserin,10.0,0.14,106.0,Vero E6
kenpaullone,10.0,0.53,69.5,Vero E6
KD-023,0.83,0.21,96.5,Vero E6
KB-SRC-4,10.0,-0.01,104.5,Vero E6
KB-R7943,10.0,0.27,85.5,Vero E6
kartogenin,10.0,0.21,97.5,Vero E6
kanamycin,10.0,0.23,100.0,Vero E6
kakonein,10.0,-0.02,103.0,Vero E6
kainic-acid,10.0,0.34,79.0,Vero E6
kaempferol,10.0,0.21,108.0,Vero E6
K145,10.0,0.17,92.0,Vero E6
K02288,10.0,0.51,95.0,Vero E6
K-Ras(G12C)-inhibitor-6,10.0,0.11,110.0,Vero E6
K-858,0.83,-0.02,107.0,Vero E6
JZL-184,10.0,0.01,103.0,Vero E6
JZL-195,10.0,0.16,95.5,Vero E6
JX-401,10.0,0.03,104.0,Vero E6
JW-74,0.83,-0.01,106.5,Vero E6
JW-67,10.0,0.18,102.5,Vero E6
JW-642,10.0,-0.14,24.5,Vero E6
JW-55,0.83,0.27,93.0,Vero E6
JTE-907,10.0,0.28,95.5,Vero E6
JTE-607,10.0,0.41,76.5,Vero E6
JTE-013,10.0,0.08,108.0,Vero E6
JTC-801,0.83,0.31,89.0,Vero E6
NFKB-activation-inhibitor-II,10.0,0.24,102.0,Vero E6
josamycin,10.0,-0.03,113.0,Vero E6
JNJ-7777120,10.0,-0.01,111.0,Vero E6
JNJ-7706621,0.83,-0.11,119.5,Vero E6
JNJ-63533054,10.0,0.07,102.0,Vero E6
JNJ-47965567,10.0,-0.05,112.5,Vero E6
JNJ-42165279,10.0,0.09,106.5,Vero E6
JNJ-42041935,10.0,0.32,88.5,Vero E6
JNJ-40411813,10.0,-0.26,116.5,Vero E6
JNJ-38877605,10.0,0.39,95.5,Vero E6
JNJ-37822681,10.0,-0.2,109.5,Vero E6
JNJ-27141491,10.0,-0.04,93.5,Vero E6
JNJ-26990990,10.0,0.21,87.5,Vero E6
JNJ-17203212,10.0,0.09,93.5,Vero E6
JNJ-16259685,10.0,0.07,103.5,Vero E6
JNJ-10397049,10.0,-0.14,112.0,Vero E6
JNJ-10191584,10.0,0.12,108.0,Vero E6
JNJ-1661010,10.0,-0.27,112.5,Vero E6
JK-184,0.83,-0.0,101.5,Vero E6
JDTic,10.0,-0.03,99.5,Vero E6
JAK3-inhibitor-V,10.0,0.02,102.0,Vero E6
ixabepilone,10.0,-0.08,108.5,Vero E6
IWP-L6,10.0,0.11,112.0,Vero E6
ivosidenib,10.0,0.22,91.5,Vero E6
ivermectin,10.0,0.11,94.0,Vero E6
ivacaftor,10.0,0.36,93.0,Vero E6
ivabradine,10.0,0.15,112.0,Vero E6
IU1,10.0,0.04,112.0,Vero E6
itraconazole,10.0,0.03,103.5,Vero E6
itopride,10.0,0.19,90.5,Vero E6
ITI214,10.0,0.38,105.0,Vero E6
givinostat,10.0,-0.22,112.0,Vero E6
ITE,10.0,0.02,92.0,Vero E6
ITD-1,10.0,0.02,97.0,Vero E6
itacitinib,10.0,0.22,97.5,Vero E6
ISX-9,10.0,0.02,104.0,Vero E6
istradefylline,10.0,0.16,107.5,Vero E6
istaroxime,0.83,0.15,101.5,Vero E6
isradipine,10.0,-0.07,104.5,Vero E6
ispinesib,0.83,-0.37,109.5,Vero E6
isoxsuprine,10.0,0.01,109.0,Vero E6
isoxicam,10.0,-0.11,107.5,Vero E6
isoxepac,10.0,0.15,103.0,Vero E6
isovaleramide,10.0,0.08,103.5,Vero E6
tretinoin,10.0,-0.04,102.5,Vero E6
isotiquimide,10.0,0.06,113.0,Vero E6
isosteviol,10.0,0.14,100.0,Vero E6
isosorbide-mononitrate,10.0,-0.1,110.5,Vero E6
isosorbide-dinitrate,10.0,0.08,111.5,Vero E6
isosorbide,10.0,0.01,111.5,Vero E6
"Isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,",10.0,0.02,105.0,Vero E6
isoprenaline,0.83,0.24,100.5,Vero E6
isopropyl-palmitate,10.0,0.29,77.0,Vero E6
isopropyl-myristate,10.0,0.24,95.5,Vero E6
isopropamide-iodide,10.0,0.19,100.0,Vero E6
isometheptene-mucate,10.0,-0.06,109.0,Vero E6
isoliquiritigenin,10.0,0.4,103.0,Vero E6
isoleucine,10.0,0.2,105.5,Vero E6
isoguvacine,10.0,0.07,99.5,Vero E6
isoflupredone-acetate,10.0,0.15,98.0,Vero E6
isoetharine,10.0,0.13,93.0,Vero E6
isodibut,10.0,0.2,103.5,Vero E6
isoconazole,10.0,0.22,104.0,Vero E6
isobutyramide,10.0,0.07,111.0,Vero E6
isobutamben,10.0,0.02,105.5,Vero E6
ISO-1,10.0,0.09,105.5,Vero E6
isepamicin,10.0,0.07,109.0,Vero E6
isbufylline,10.0,-0.01,106.0,Vero E6
isavuconazole,10.0,-0.12,113.0,Vero E6
isamoltane,10.0,-0.2,113.5,Vero E6
irsogladine,10.0,0.17,94.5,Vero E6
IRL-2500,10.0,0.03,95.0,Vero E6
irinotecan,0.83,-0.02,98.0,Vero E6
irbesartan,10.0,0.05,96.5,Vero E6
ipsapirone,10.0,-0.02,101.5,Vero E6
iproniazid,10.0,0.07,108.5,Vero E6
ipragliflozin-L-proline,10.0,0.01,110.0,Vero E6
ipidacrine,10.0,0.22,83.5,Vero E6
GDC-0068,10.0,0.1,96.0,Vero E6
IPA-3,10.0,-0.2,111.5,Vero E6
ioxilan,10.0,0.0,113.5,Vero E6
ioxaglic-acid,10.0,0.06,104.0,Vero E6
IOX2,10.0,-0.0,102.0,Vero E6
IOX1,10.0,0.02,102.0,Vero E6
IOWH032,0.83,0.05,100.5,Vero E6
iothalamic-acid-d3,10.0,0.14,104.0,Vero E6
iopromide,10.0,-0.11,105.5,Vero E6
iopodic-acid,10.0,0.07,104.0,Vero E6
iopanic-acid,10.0,-0.14,115.5,Vero E6
iohexol,10.0,0.14,102.5,Vero E6
iohexol,10.0,-0.06,105.0,Vero E6
iodoquinol,0.83,0.16,99.5,Vero E6
iodophenpropit,10.0,0.22,80.5,Vero E6
iododexetimide,10.0,-0.01,100.0,Vero E6
iodoantipyrine,10.0,0.03,117.5,Vero E6
iodixanol,10.0,-0.1,114.0,Vero E6
iodipamide,10.0,0.04,93.0,Vero E6
iocetamic-acid,10.0,0.06,97.0,Vero E6
iobenguane,10.0,0.13,100.0,Vero E6
INT-767,10.0,-0.07,106.5,Vero E6
obeticholic-acid,10.0,0.07,109.0,Vero E6
inositol-hexanicotinate,10.0,0.02,109.0,Vero E6
inositol,10.0,-0.17,95.5,Vero E6
efatutazone,10.0,0.36,93.5,Vero E6
MLN0128,0.83,-0.01,102.0,Vero E6
iniparib,10.0,0.07,106.0,Vero E6
INH1,10.0,-0.29,107.0,Vero E6
ingenol-mebutate,0.83,-0.3,95.0,Vero E6
indoximod,10.0,0.18,110.5,Vero E6
indoramin,10.0,0.11,102.5,Vero E6
indoprofen,10.0,-0.11,110.0,Vero E6
indomethacin,10.0,0.08,103.5,Vero E6
indole-3-carbinol,10.0,0.06,94.5,Vero E6
indirubin-3-monoxime,0.83,0.01,105.5,Vero E6
indirubin,10.0,0.17,99.0,Vero E6
indiplon,10.0,-0.21,115.5,Vero E6
indinavir,10.0,0.04,110.0,Vero E6
indibulin,0.83,-0.25,123.5,Vero E6
indeloxazine,10.0,-0.32,105.5,Vero E6
indatraline,10.0,-0.11,114.0,Vero E6
indapamide,10.0,0.02,111.5,Vero E6
indacaterol,10.0,0.05,114.5,Vero E6
INCB-003284,10.0,-0.08,104.0,Vero E6
INCB-003284,10.0,-0.02,106.0,Vero E6
INCA-6,10.0,0.01,102.0,Vero E6
amrinone,10.0,0.0,112.0,Vero E6
impentamine,10.0,0.13,92.5,Vero E6
immethridine,10.0,0.16,109.0,Vero E6
immepip,10.0,0.05,101.0,Vero E6
imiquimod,10.0,0.08,106.5,Vero E6
imipramine,10.0,-0.04,92.5,Vero E6
imipenem,10.0,-0.16,113.5,Vero E6
imiloxan,10.0,-0.01,99.0,Vero E6
imidurea,10.0,-0.08,107.5,Vero E6
imidapril,10.0,-0.04,117.0,Vero E6
imidafenacin,10.0,0.13,93.0,Vero E6
imidacloprid,10.0,0.11,98.5,Vero E6
imetit,10.0,0.1,106.0,Vero E6
ADD-233089,10.0,0.02,98.5,Vero E6
imeglimin,10.0,0.02,99.0,Vero E6
iloprost,10.0,0.01,108.0,Vero E6
iloperidone,10.0,-0.11,111.0,Vero E6
ilomastat,10.0,-0.03,113.5,Vero E6
NS-018,0.83,-0.11,114.5,Vero E6
ilepcimide,10.0,0.2,95.5,Vero E6
IKK-2-inhibitor-V,10.0,-0.2,104.5,Vero E6
IKK-2-inhibitor,10.0,-0.04,107.5,Vero E6
IKK-16,0.83,0.63,56.0,Vero E6
GSK2330672,10.0,0.09,90.5,Vero E6
igmesine,10.0,0.32,97.5,Vero E6
ifosfamide,10.0,0.19,97.5,Vero E6
ifenprodil,10.0,0.06,100.5,Vero E6
IEM1460,10.0,-0.03,112.5,Vero E6
IEM1754,10.0,0.23,97.5,Vero E6
IDRA-21,10.0,0.13,100.0,Vero E6
idoxuridine,10.0,0.03,108.5,Vero E6
IDO5L,10.0,0.04,112.0,Vero E6
idebenone,10.0,-0.01,92.5,Vero E6
idarubicin,0.83,-0.15,105.5,Vero E6
idalopirdine,10.0,-0.15,114.0,Vero E6
ID-8,10.0,0.11,107.0,Vero E6
iCRT-14,10.0,-0.17,102.5,Vero E6
icotinib,0.83,-0.01,117.0,Vero E6
icilin,10.0,0.07,100.0,Vero E6
ICI-89406,10.0,-0.03,109.0,Vero E6
ICI-63197,10.0,0.28,96.5,Vero E6
ICI-192605,10.0,-0.0,106.0,Vero E6
ICI-162846,10.0,0.01,100.0,Vero E6
"ICI-118,551",10.0,-0.02,110.5,Vero E6
ICG-001,10.0,0.08,93.0,Vero E6
icatibant-acetate,10.0,0.11,102.0,Vero E6
icaritin,0.0,-0.01,100.5,Vero E6
icariin,10.0,0.14,105.5,Vero E6
ICA-121431,10.0,-0.09,105.0,Vero E6
ICA-110381,10.0,0.18,99.5,Vero E6
ICA-069673,10.0,0.04,101.0,Vero E6
IC261,10.0,-0.03,96.5,Vero E6
ibutilide,10.0,0.19,107.0,Vero E6
ibutamoren,10.0,-0.08,108.5,Vero E6
ibuproxam,10.0,0.23,93.5,Vero E6
ibuprofen,10.0,-0.04,105.0,Vero E6
ibuprofen,10.0,0.04,106.0,Vero E6
ibudilast,10.0,0.09,97.0,Vero E6
ibotenic-acid,10.0,-0.01,93.0,Vero E6
IBC-293,10.0,0.05,101.5,Vero E6
ibandronate,10.0,-0.03,111.0,Vero E6
IB-MECA,10.0,0.16,100.5,Vero E6
I-CBP-112,0.83,-0.08,98.5,Vero E6
I-BZA,10.0,-0.19,115.0,Vero E6
I-BRD9,10.0,-0.12,110.0,Vero E6
I-BET151,10.0,-0.15,112.0,Vero E6
I-BET-762,10.0,-0.07,105.5,Vero E6
hypoxanthine,10.0,0.06,108.0,Vero E6
hypericin,10.0,-0.15,113.5,Vero E6
hyoscyamine,10.0,0.14,90.5,Vero E6
Hyodeoxycholic acid (HDCA),10.0,0.11,102.0,Vero E6
Hygromycin B,10.0,0.02,86.5,Vero E6
hydroxyzine,10.0,0.07,104.5,Vero E6
hydroxyurea,10.0,0.22,100.0,Vero E6
hydroxytoluic-acid,10.0,-0.14,106.0,Vero E6
"hydroxytacrine-maleate-(R,S)",10.0,0.27,90.5,Vero E6
hydroxystilbamidine,10.0,0.11,109.0,Vero E6
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",10.0,0.06,104.0,Vero E6
hydroxypropyl-beta-cyclodextrin,10.0,0.25,99.0,Vero E6
hydroxyprogesterone-acetate,10.0,0.01,104.5,Vero E6
17-hydroxyprogesterone-caproate,10.0,0.52,85.5,Vero E6
hydroxyfasudil,10.0,0.36,107.5,Vero E6
hydroxychloroquine,10.0,0.36,88.0,Vero E6
hydroxyamphetamine,10.0,-0.06,104.0,Vero E6
hydroquinone,10.0,0.01,107.5,Vero E6
hydroquinidine,10.0,0.3,90.0,Vero E6
hydroflumethiazide,10.0,0.11,111.5,Vero E6
hydrocortisone-valerate,10.0,0.08,107.0,Vero E6
hydrocortisone-phosphate,10.0,-0.01,98.5,Vero E6
hydrocortisone-hemisuccinate,10.0,-0.34,116.0,Vero E6
hydrocortisone-butyrate,10.0,-0.07,101.5,Vero E6
hydrocortisone-acetate,10.0,-0.01,109.5,Vero E6
hydrocortisone,10.0,-0.14,121.5,Vero E6
hydrochlorothiazide,10.0,0.03,109.5,Vero E6
hydrastinine,10.0,-0.14,114.5,Vero E6
"hydrastine-(1R,9S)",10.0,-0.02,108.0,Vero E6
hydralazine,10.0,-0.08,104.5,Vero E6
hycanthone,0.83,0.24,82.0,Vero E6
HTMT,10.0,-0.11,119.0,Vero E6
hordenine,10.0,0.16,90.5,Vero E6
honokiol,10.0,0.43,80.5,Vero E6
homoveratrylamine,10.0,-0.02,118.5,Vero E6
homoquinolinic-acid,10.0,0.06,102.5,Vero E6
homochlorcyclizine,10.0,0.29,59.5,Vero E6
homidium,10.0,0.28,99.5,Vero E6
homatropine-methylbromide,10.0,-0.04,104.5,Vero E6
Homatropine Bromide,10.0,0.02,108.5,Vero E6
meluadrine,10.0,0.01,94.0,Vero E6
pibenzimol,10.0,0.0,110.5,Vero E6
HMN-214,10.0,-0.11,93.5,Vero E6
HLCL-61,10.0,0.26,87.0,Vero E6
HKI-357,10.0,-0.2,99.5,Vero E6
HJC-0350,10.0,0.07,102.5,Vero E6
histamine,10.0,-0.11,113.5,Vero E6
hippuric-acid,10.0,-0.08,109.0,Vero E6
hexylresorcinol,10.0,0.2,88.0,Vero E6
hexylcaine,10.0,-0.03,112.0,Vero E6
hexoprenaline,10.0,0.06,116.5,Vero E6
hexestrol,10.0,0.14,101.5,Vero E6
hexaminolevulinate,10.0,0.09,102.0,Vero E6
hexamethonium,10.0,-0.26,113.5,Vero E6
hexachlorophene,10.0,0.17,83.5,Vero E6
hetacillin,10.0,0.14,96.5,Vero E6
hesperidin,10.0,-0.13,108.5,Vero E6
hesperetin,10.0,0.04,107.0,Vero E6
hesperadin,10.0,-0.26,109.5,Vero E6
HER2-Inhibitor-1,10.0,0.17,95.0,Vero E6
heptaminol,10.0,-0.15,111.0,Vero E6
hemin,0.83,0.03,104.5,Vero E6
hematoxylin,10.0,-0.06,114.0,Vero E6
hematoporphyrin,10.0,-0.18,115.5,Vero E6
HEMADO,10.0,0.14,96.0,Vero E6
heclin,10.0,0.26,77.0,Vero E6
HC-030031,10.0,0.05,109.0,Vero E6
harmane,10.0,0.13,87.0,Vero E6
haloperidol-decanoate,10.0,0.17,96.0,Vero E6
haloperidol,10.0,-0.02,114.5,Vero E6
halofuginone,0.83,-0.08,99.5,Vero E6
halofantrine,10.0,0.41,79.5,Vero E6
halobetasol-propionate,10.0,0.1,105.5,Vero E6
halcinonide,10.0,0.16,106.5,Vero E6
halazone,10.0,0.13,95.0,Vero E6
HA-14-1,10.0,0.09,113.5,Vero E6
HA-966-(S)-(-),10.0,-0.03,103.0,Vero E6
HA-966-(S)-(-),10.0,0.03,95.5,Vero E6
HA-14-1,10.0,0.04,101.5,Vero E6
HA-130,10.0,0.06,103.5,Vero E6
H2L-5765834,10.0,0.17,99.5,Vero E6
H-89,10.0,0.34,99.0,Vero E6
GZD824,10.0,0.45,98.0,Vero E6
GYKI-52466,10.0,-0.1,112.5,Vero E6
GW-788388,10.0,-0.04,114.5,Vero E6
GW-311616,10.0,0.04,106.0,Vero E6
GW-2580,10.0,-0.07,111.5,Vero E6
GW-9662,10.0,0.1,94.5,Vero E6
GW-9508,10.0,-0.13,115.5,Vero E6
GW-843682X,10.0,-0.07,106.0,Vero E6
GW-842166,10.0,0.33,96.0,Vero E6
GW-7647,10.0,0.13,117.0,Vero E6
GW-6471,10.0,-0.03,109.5,Vero E6
GW-627368,10.0,0.12,104.0,Vero E6
GW-583340,10.0,-0.29,116.5,Vero E6
GW-542573X,10.0,0.07,97.0,Vero E6
GW-5074,10.0,0.38,98.5,Vero E6
GW-441756,10.0,-0.03,92.5,Vero E6
GW-4064,10.0,0.15,96.5,Vero E6
GW-3965,10.0,0.27,102.0,Vero E6
GW-1929,10.0,0.32,70.0,Vero E6
GW-1100,10.0,0.18,90.5,Vero E6
GW-0742,10.0,0.14,99.5,Vero E6
GW-501516,10.0,0.1,98.5,Vero E6
guvacine,10.0,0.2,93.0,Vero E6
Gue-1654,10.0,0.08,94.5,Vero E6
guanosine,10.0,0.1,106.0,Vero E6
guanidinoethyldisulfide-bicarbonate,10.0,0.02,107.0,Vero E6
guanidine,0.83,-0.29,118.0,Vero E6
guanfacine,10.0,0.26,86.0,Vero E6
guanethidine,10.0,-0.05,109.0,Vero E6
guanaben-acetate,10.0,-0.13,114.0,Vero E6
guaifenesin,10.0,-0.04,112.0,Vero E6
guacetisal,10.0,0.06,101.0,Vero E6
GTS21,10.0,0.52,87.0,Vero E6
GTP-14564,10.0,0.06,98.5,Vero E6
GSK9027,10.0,0.22,91.5,Vero E6
GSK690693,10.0,0.34,105.0,Vero E6
GSK650394,10.0,0.31,89.5,Vero E6
GSK503,10.0,0.17,98.0,Vero E6
GSK429286A,10.0,0.43,99.0,Vero E6
GSK3787,10.0,0.18,99.0,Vero E6
GSK2879552,10.0,0.11,98.0,Vero E6
GSK2838232,10.0,0.2,96.0,Vero E6
GSK269962,10.0,0.31,97.0,Vero E6
GSK2636771,0.83,-0.13,118.0,Vero E6
GSK2578215A,10.0,-0.06,114.5,Vero E6
GSK256066,10.0,0.34,91.0,Vero E6
GSK2334470,0.83,0.04,105.5,Vero E6
GSK2256294A,10.0,-0.05,103.5,Vero E6
GSK2194069,10.0,0.27,90.5,Vero E6
GSK1838705A,10.0,-0.41,128.5,Vero E6
GSK163090,10.0,0.33,84.0,Vero E6
GSK1292263,10.0,-0.1,115.5,Vero E6
GSK2816126,10.0,-0.21,109.0,Vero E6
GSK1070916,0.83,-0.19,105.5,Vero E6
GSK1059615,0.83,0.15,108.0,Vero E6
GSK-LSD-1,10.0,-0.09,114.0,Vero E6
GSK-J2,10.0,0.17,107.5,Vero E6
GSK-J1,10.0,0.19,101.0,Vero E6
GSK37647,10.0,0.22,80.5,Vero E6
GSK-3-inhibitor-IX,0.83,-0.05,67.0,Vero E6
GSK2837808A,10.0,-0.0,109.0,Vero E6
GSK2193874,0.83,-0.24,112.5,Vero E6
GSK1562590,0.83,0.08,104.0,Vero E6
GSK0660,10.0,0.11,95.0,Vero E6
GSK-J4,0.83,-0.04,116.5,Vero E6
integrin-antagonist-1,10.0,-0.1,111.0,Vero E6
GSK2830371,10.0,0.07,105.5,Vero E6
GS-6201,10.0,0.16,103.0,Vero E6
GS-39783,10.0,0.35,88.0,Vero E6
GS-143,10.0,-0.08,115.0,Vero E6
griseofulvin,10.0,0.07,104.0,Vero E6
grazoprevir,10.0,0.09,109.0,Vero E6
grapiprant,10.0,0.24,93.5,Vero E6
granisetron,10.0,-0.16,98.5,Vero E6
gramicidin,10.0,-0.26,100.0,Vero E6
GR46611,10.0,0.16,88.5,Vero E6
GR125487,10.0,0.04,106.0,Vero E6
GR-79236,10.0,0.23,100.0,Vero E6
GR-235,10.0,0.05,91.0,Vero E6
GR-159897,10.0,-0.01,101.5,Vero E6
GR-144053,10.0,-0.08,106.5,Vero E6
GR-135531,10.0,0.07,108.0,Vero E6
GR-113808,10.0,0.23,96.0,Vero E6
GR-103691,10.0,-0.22,113.0,Vero E6
GPR120-modulator-1,10.0,-0.07,100.0,Vero E6
GPP-78,0.83,-0.14,114.5,Vero E6
GPi-688,10.0,-0.16,105.0,Vero E6
GPI-1046,10.0,-0.04,116.5,Vero E6
GPBAR-A,10.0,-0.19,107.5,Vero E6
GP2a,10.0,0.1,104.0,Vero E6
GP1a,10.0,0.02,109.5,Vero E6
gossypol,0.83,-0.08,103.5,Vero E6
goserelin-acetate,10.0,0.08,109.0,Vero E6
gonadorelin,10.0,-0.18,104.0,Vero E6
Golgicide A,0.83,0.28,104.5,Vero E6
GNTI,10.0,-0.07,101.0,Vero E6
GNF-7,10.0,0.47,103.5,Vero E6
GNF-5837,10.0,0.57,51.5,Vero E6
GNF-5,10.0,-0.01,98.5,Vero E6
GNF-2,10.0,-0.11,111.0,Vero E6
glycopyrrolate,10.0,0.12,107.0,Vero E6
glycitein,10.0,0.0,110.5,Vero E6
AZD4282,10.0,0.15,103.5,Vero E6
glutathione-monoisopropyl-ester,10.0,0.05,101.0,Vero E6
glutathione,10.0,-0.03,107.5,Vero E6
glucosamine,10.0,-0.04,105.0,Vero E6
gluconolactone,10.0,0.07,98.0,Vero E6
GLPG0492-R-enantiomer,10.0,-0.0,101.5,Vero E6
GLPG0492-R-enantiomer,10.0,-0.02,107.5,Vero E6
gliquidone,10.0,0.28,98.5,Vero E6
glipizide,10.0,0.22,96.0,Vero E6
glimepiride,10.0,0.15,99.0,Vero E6
gliclazide,10.0,0.06,106.0,Vero E6
glasdegib,10.0,0.07,100.5,Vero E6
glafenine,10.0,0.53,83.0,Vero E6
GKT137831,10.0,0.17,111.5,Vero E6
GKA-50,10.0,-0.16,100.0,Vero E6
ginsenoside-RE3,10.0,0.16,92.5,Vero E6
ginsenoside-RD,10.0,0.05,102.0,Vero E6
ginsenoside-C-K,10.0,0.03,117.5,Vero E6
ginkgolide-B,10.0,0.26,93.0,Vero E6
Ginkgolide A,10.0,-0.01,113.5,Vero E6
gimeracil,10.0,0.1,107.0,Vero E6
gilteritinib,0.83,0.27,91.5,Vero E6
gidazepam,10.0,0.1,100.5,Vero E6
GGTI-298,10.0,-0.44,115.0,Vero E6
GF109203X,0.83,-0.01,104.0,Vero E6
gestrinone,10.0,0.09,103.0,Vero E6
gestodene,10.0,0.15,107.0,Vero E6
geranyl-farnesylacetate,10.0,-0.02,99.0,Vero E6
gepefrine,10.0,-0.02,106.5,Vero E6
genz-644282,10.0,-0.38,118.0,Vero E6
genz-123346,10.0,0.39,71.5,Vero E6
crystal-violet,10.0,-0.08,114.0,Vero E6
genistein,10.0,-0.21,119.0,Vero E6
Geniposidic acid,10.0,-0.16,113.5,Vero E6
geniposide,10.0,-0.32,116.0,Vero E6
genipin,10.0,0.29,112.0,Vero E6
gemifloxacin,10.0,0.16,91.5,Vero E6
gemfibrozil,10.0,-0.05,98.5,Vero E6
gemcitabine-elaidate,0.83,0.09,111.5,Vero E6
gemcitabine,0.83,-0.01,113.5,Vero E6
gemcadiol,10.0,0.12,98.5,Vero E6
geldanamycin,0.83,-0.18,98.5,Vero E6
gefitinib,10.0,-0.25,112.5,Vero E6
GDC-0994,0.83,0.05,104.0,Vero E6
GDC-0879,10.0,0.1,79.5,Vero E6
GDC-0834,10.0,0.45,69.0,Vero E6
GDC-0623,0.83,-0.3,121.0,Vero E6
GDC-0349,0.83,0.13,103.0,Vero E6
GDC-0152,10.0,-0.09,109.5,Vero E6
GBR-13069,10.0,0.46,65.5,Vero E6
GBR-12935,10.0,0.24,94.0,Vero E6
GBR-12783,10.0,0.33,82.5,Vero E6
gavestinel,10.0,0.12,107.5,Vero E6
gatifloxacin,10.0,0.07,104.5,Vero E6
gastrodin,10.0,0.19,105.5,Vero E6
garenoxacin,10.0,0.05,102.0,Vero E6
GANT-58,10.0,0.04,93.0,Vero E6
ganetespib,0.83,0.07,111.0,Vero E6
LY2784544,0.83,-0.01,107.0,Vero E6
ganciclovir,10.0,0.11,97.0,Vero E6
ganaxolone,10.0,-0.04,104.5,Vero E6
gamma-linolenic-acid,10.0,0.06,102.5,Vero E6
gambogic-acid,10.0,0.02,106.5,Vero E6
LY2157299,10.0,0.13,100.5,Vero E6
